,0
229,-2695.603295996587
230,-2688.795964097761
231,-2668.919342996599
232,-2633.2102469516676
233,-2591.380986007311
234,-2600.236597936695
235,-2599.9731125761505
236,-2615.1509165385455
237,-2684.8611052212514
238,-2673.6154117315245
239,-2671.695326998821
240,-2677.8513416594533
241,-2719.716132363028
242,-2796.95630257696
243,-2813.02837987304
244,-2820.9873531368726
245,-2818.4176027920303
246,-2814.46981600805
247,-2777.6114381481325
248,-2733.412332940963
249,-2696.9731919524775
250,-2635.168306239859
251,-2597.561768392592
252,-2557.7686802814283
253,-2525.538237349711
254,-2499.756614424066
255,-2460.195613165444
256,-2428.408613397858
257,-2434.2642560288373
258,-2407.9528184010055
259,-2373.2347734777372
260,-2340.677642367955
261,-2299.3331438129967
262,-2291.1827090930565
263,-2232.2028544582117
264,-2193.7487070812585
265,-2180.9070838396437
266,-2190.742061266229
267,-2178.0117917727293
268,-2148.2518919540025
269,-2147.5750116050312
270,-2152.580051897175
271,-2164.691522823697
272,-2178.3205111572934
273,-2186.921966683003
274,-2204.015922300664
275,-2192.8305145505374
276,-2196.012975353347
277,-2196.791079447554
278,-2188.4994839216997
279,-2171.499239359359
280,-2193.0665716329845
281,-2162.3668440606725
282,-2145.095934180762
283,-2125.7919033886205
284,-2118.1328630732914
285,-2093.0195066073093
286,-2058.613578871906
287,-2030.1382792650143
288,-2041.4360512968183
289,-2018.2492593086956
290,-2004.5203384029835
291,-1993.612183302131
292,-1978.5146366398749
293,-1956.775570866003
294,-1933.187933597337
295,-1934.7406413634635
296,-1937.5140124902114
297,-1928.8797508297923
298,-1919.6475725561845
299,-1914.5950580961894
300,-1896.968370656374
301,-1897.7954993514304
302,-1898.7466667247863
303,-1903.2051687709713
304,-1881.2378529909672
305,-1873.1710145697048
306,-1843.2555626810035
307,-1831.9300362220413
308,-1816.2207545301387
309,-1808.5441164132376
310,-1782.9690929009603
311,-1791.4179524405326
312,-1776.9305152348288
313,-1777.542552512014
314,-1782.5034781455968
315,-1805.4141218507225
316,-1818.9285721966876
317,-1830.1365299764868
318,-1868.8291421636538
319,-1889.6060526402591
320,-1887.1361021978398
321,-1904.8423813243828
322,-1919.8379688197856
323,-1926.186787033784
324,-1942.3646055818294
325,-1984.822635678814
326,-1989.7303855393432
327,-1986.163990309626
328,-1982.2896421719158
329,-1982.6705254816413
330,-2005.1790843803908
331,-2007.694159363672
332,-1991.1752103518452
333,-1979.2015231719506
334,-1975.5507982877461
335,-1994.3185473661265
336,-1960.9179380051276
337,-1964.7308504188102
338,-1950.9692168058975
339,-1956.1918298629153
340,-1966.7000396494084
341,-1979.917062919841
342,-1993.3392929730112
343,-1993.6904548001187
344,-1967.6535832249244
345,-1946.598876507502
346,-1952.9085773503434
347,-1951.9627649641961
348,-1954.5745328224918
349,-1956.6659070704688
350,-1931.5218243568797
351,-1924.7788734186483
352,-1919.1997584043552
353,-1937.7009163296132
354,-1899.8999003608092
355,-1919.0887040569526
356,-1943.929857377237
357,-1921.353101871381
358,-1909.5244365967853
359,-1873.5588369784348
360,-1858.8041431647696
361,-1823.2828837428492
362,-1825.557880353758
363,-1800.7501349047177
364,-1778.56703830225
365,-1767.85706739128
366,-1754.0856587798462
367,-1767.568374986094
368,-1795.7974993606022
369,-1816.9624199004622
370,-1859.140092848121
371,-1859.8795509401252
372,-1852.3526427779905
373,-1839.8601754322249
374,-1837.5685835710274
375,-1844.9662767957682
376,-1856.0306984590156
377,-1862.5647051773758
378,-1880.8431360156221
379,-1894.2412282255332
380,-1883.7467288322948
381,-1886.1184074354223
382,-1879.8515579716932
383,-1867.3568085413335
384,-1858.569966614611
385,-1861.4411223721947
386,-1864.719907082055
387,-1866.0162021319222
388,-1887.0289218239186
389,-1882.7456462670007
390,-1886.2549883905986
391,-1878.4437451233543
392,-1847.1014546387494
393,-1846.8889805492802
394,-1818.549755598196
395,-1786.3464906827498
396,-1774.0985064864271
