,0
213,-1275.9150566951973
214,-1283.4889137044468
215,-1291.630938059185
216,-1308.9733127225031
217,-1300.617188898505
218,-1291.8364297839155
219,-1299.388870038351
220,-1308.5842594332255
221,-1305.156532034496
222,-1306.244425549437
223,-1328.5223754797382
224,-1319.0384139713115
225,-1309.8284185896805
226,-1307.4349538109984
227,-1299.9526584550877
228,-1310.1973043440562
229,-1328.4549345342907
230,-1371.4779065480493
231,-1378.5810168011942
232,-1404.1656569341362
233,-1410.2876015366323
234,-1397.213387477459
235,-1409.4009017719552
236,-1431.7482502815114
237,-1442.1251731002196
238,-1434.5701145329738
239,-1421.637168185443
240,-1455.1941223407582
241,-1442.6786958592415
242,-1427.8042502806488
243,-1451.4813436638124
244,-1489.754923937999
245,-1482.8615792549003
246,-1453.3647620719805
247,-1448.2556113488486
248,-1460.3315590863015
249,-1456.2685348064854
250,-1446.8264441721208
251,-1444.304158047951
252,-1432.7275449808126
253,-1433.3838761456789
254,-1431.3934219730074
255,-1425.971092355981
256,-1416.8139356410518
257,-1428.5255769672676
258,-1423.4119848534212
259,-1428.903437606464
260,-1449.112726385677
261,-1480.4421969978775
262,-1510.3702257832174
263,-1494.78068949152
264,-1492.8384486430198
265,-1491.0964062800144
266,-1481.453788533493
267,-1469.831453827285
268,-1461.6087569242416
269,-1481.7831929341364
270,-1463.4025737163395
271,-1434.9163471856843
272,-1474.2581598906409
273,-1443.0526896895194
274,-1435.4262825588078
275,-1429.7316415282166
276,-1425.7470852389388
277,-1426.9531154096962
278,-1408.2962335866143
279,-1396.266241131453
280,-1390.9941189224794
281,-1372.5888937936945
282,-1372.3279949731154
283,-1368.9211816140066
284,-1351.1194149517398
285,-1349.0884551690451
286,-1358.6638940664905
287,-1374.582255605784
288,-1367.0763625605082
289,-1354.4104389175716
290,-1337.8976641919323
291,-1321.3499748668098
292,-1300.6972958471815
293,-1316.5762258146221
294,-1305.2718510960683
295,-1335.1386781845633
296,-1345.6291058887434
297,-1344.1345081664551
298,-1352.6806058242444
299,-1353.564033796779
300,-1338.458227806743
301,-1329.84360465916
302,-1332.547851620619
303,-1328.140315363953
304,-1345.005725384396
305,-1339.377140661767
306,-1355.809839252971
307,-1352.0759539166124
308,-1345.9307643203776
309,-1342.3074343825735
310,-1345.2308152709713
311,-1339.7612615004593
312,-1331.3977612493163
313,-1330.0629325764073
314,-1327.8246813822918
315,-1336.3635485530135
316,-1335.404237183017
317,-1325.1119583492602
318,-1330.0515113612796
319,-1328.4465452120726
320,-1312.3940990472843
321,-1306.4863264571543
322,-1299.475454996726
323,-1290.0127184127098
324,-1278.2086258592356
325,-1262.4769983014553
326,-1255.6461455079925
327,-1250.8583482657393
328,-1251.2236394860302
329,-1249.1006005250388
330,-1244.660545830092
331,-1247.2306387183157
332,-1252.1785049152436
333,-1270.4476912143498
334,-1276.515567156205
335,-1305.2580049143667
336,-1309.2561729296544
337,-1293.4924873838215
338,-1284.4399368382763
339,-1294.9025176651207
340,-1283.2668328732502
341,-1283.528205644042
342,-1268.0375038502245
343,-1279.8768465780759
344,-1300.3247327071595
345,-1313.6315218313066
346,-1319.479334312585
347,-1341.5405298526111
348,-1345.0445081390887
349,-1331.6873113917418
350,-1338.5627208035626
351,-1332.804224497319
352,-1349.156378200726
353,-1334.5279186231369
354,-1317.9436319431838
355,-1304.1588161300076
356,-1296.0951067450808
357,-1287.0098534973888
358,-1297.309322268176
359,-1297.216406714029
360,-1303.4350954979966
361,-1302.829774983579
362,-1342.0008212975233
363,-1341.9314904604537
364,-1337.9243457373836
365,-1334.8913459046837
